q;a
What is random baseline accuracy for \(N\) equally likely classes?;\(1 / N\).
Why start image classification with fewer classes?;It makes debugging easier because random baseline accuracy is higher and mistakes are easier to inspect.
What does a folder-per-class image dataset usually mean?;Each subfolder name is treated as the class label for the images inside it.
What is a balanced classification dataset?;A dataset where each class has roughly the same number of examples.
Why use a fixed random seed when splitting a dataset?;It makes the random split reproducible so experiments can be compared fairly.
What label format does PyTorch CrossEntropyLoss expect for single-label classification?;Integer class indices \(y\) where \(0 \le y < C\), with \(C\) equal to the number of classes.
What is entropy in information theory?;The average surprise or uncertainty of a probability distribution.
Why does entropy multiply surprise by probability?;Because entropy is expected surprise, and expected values weight each outcome by how often it occurs.
Why can measured entropy be imperfect for real-world events?;Because we usually do not know the true underlying probability distribution, so entropy is computed from an estimated distribution.
When does cross-entropy \(H(P, Q)\) equal entropy \(H(P)\)?;When the predicted distribution \(Q\) is the same as the true distribution \(P\).
What does \(D_{KL}(p \parallel q)\) mean intuitively?;The extra expected surprise from using model distribution \(q\) when the true data distribution is \(p\).
In \(D_{KL}(p \parallel q)\), which distribution is reality and which is the model?;\(p\) is the true distribution, and \(q\) is the model distribution.
Why does adding a constant to a loss function not change the optimizer?;Because it shifts all loss values by the same amount, so the parameters that minimize the function stay the same.
Why is \(\ln(0.7)\) negative?;Because \(0.7 < 1\), and powers of \(e\) less than \(1\) require negative exponents.
In classification loss \(L = -\log q(y)\), what is \(y\)?;The true/correct class label for that training example.
What does \(x \sim p\) mean?;\(x\) is sampled from, or distributed according to, distribution \(p\).
Why does PyTorch `CrossEntropyLoss` expect logits instead of softmax probabilities?;Because it internally applies a numerically stable log-softmax plus negative log likelihood calculation.
What is the type hint for a dictionary mapping strings to integers?;`dict[str, int]`
What is the return type hint for a function returning records and `class_to_idx`?;`tuple[list[ManifestRecord], dict[str, int]]`
Is a Python tuple mutable?;No. A tuple's slots cannot be changed after creation, though mutable objects inside the tuple can still be mutated.
Can you add new keys to a Python dictionary?;Yes. A normal `dict` is mutable, and assigning `d[key] = value` adds the key or updates it if it already exists.
What is an important property of a Python `set`?;A normal `set` is mutable, stores unique elements, and should not be relied on for stable ordering.
What is expected value intuitively?;A probability-weighted average. For numerical outcomes, it is also the best single guess under squared error.
What does \(\sum_x\) mean?;Sum over all possible values of \(x\).
How can \(\frac{1}{2}\) be written as a power of \(2\)?;\(\frac{1}{2} = 2^{-1}\).
Why is \(\log_1(x)\) undefined?;Because \(1^y = 1\) for all \(y\), so no unique exponent \(y\) exists. For \(x \ne 1\) there is no solution, and for \(x = 1\) there are infinitely many.
How do you get the number of items in a Python container?;Use `len(container)`.
How do you collect one attribute from every object in a list?;Use a list comprehension, e.g. `[record.split for record in records]`.
What methods does a basic PyTorch `Dataset` subclass usually define?;`__len__` for dataset size and `__getitem__` for retrieving one example by index.
What does `class AnimeDataset(Dataset):` mean?;`AnimeDataset` inherits from `Dataset`, so it is a custom kind of PyTorch dataset.
Is `super` a Python keyword?;No. `super` is a built-in name, not a keyword.
What does `super()` do in a Python class?;It returns a proxy object used to access methods from a parent class, commonly `super().__init__()`.
What method does Python call when you use `len(obj)`?;Python calls `obj.__len__()`.
What method does Python call when you use `obj[index]`?;Python calls `obj.__getitem__(index)`.
What is Pillow in Python image processing?;Pillow is the maintained fork of PIL, the Python Imaging Library, commonly used to open and manipulate images.
What methods does Python use for `for x in obj`?;Usually `iter(obj)`, which calls `obj.__iter__()`, then repeated `__next__()` calls on the iterator.
What method does Python usually call for `x in obj`?;Usually `obj.__contains__(x)`, otherwise Python may fall back to iteration.
What is a Python module object?;The runtime object Python creates to represent an imported module, storing the module's names as attributes.
What built-in function is used by Python's import machinery?;`__import__()`.
What dunder method is used for normal attribute access like `obj.name`?;`obj.__getattribute__("name")`; if that fails, Python may call `__getattr__`.
What method does Python call for `iter(obj)`?;Python calls `obj.__iter__()`.
What method does Python call for `next(iterator)`?;Python calls `iterator.__next__()`.
What method does Python call for `obj()`?;Python calls `obj.__call__()`.
What method does Python call for `obj == other`?;Python calls `obj.__eq__(other)`.
What method does Python call for `obj + other`?;Python calls `obj.__add__(other)`.
What method does Python call for `str(obj)`?;Python calls `obj.__str__()`.
What method does Python call for `repr(obj)`?;Python calls `obj.__repr__()`.
What methods does Python call for `with obj:`?;Python calls `obj.__enter__()` when entering and `obj.__exit__()` when leaving.
What does the default object `repr` usually show?;The object's type and an address-like identifier, such as `<MyClass object at 0x...>`.
Are Python dunder methods implemented in C?;For built-in types in CPython, often yes, but user-defined dunder methods are normal Python methods.
What is the difference between a Python language rule and a CPython implementation detail?;The language rule defines required behavior, while CPython may implement that behavior in C for built-in types.
Why convert loaded images to RGB in an image dataset?;It ensures every image has a consistent 3-channel color mode, even if files load as grayscale, palette, RGBA, or another mode.
